Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,Variable
"(-inf, 5690.50)",394,0.061208637564082645,99,295,0.748730964467005,-1.1667701251720703,0.07650876752399463,LOAN
"[5690.50, 7995.50)",488,0.07581171353114805,195,293,0.6004098360655737,-0.4820876694201609,0.017440209750661233,LOAN
"[7995.50, 9299.50)",368,0.05716948889234115,179,189,0.5135869565217391,-0.12927582818572814,0.0009564131410970861,LOAN
"[9299.50, 16398.50)",2246,0.3489203044896691,1133,1113,0.4955476402493321,-0.05710470921437883,0.0011387187633615818,LOAN
"[16398.50, 20083.00)",902,0.14012738853503184,491,411,0.4556541019955654,0.10293629433144552,0.0014806128771483681,LOAN
"[20083.00, 30394.50)",1492,0.23178499300916577,898,594,0.39812332439678283,0.33837612997271393,0.026124732791808665,LOAN
"[30394.50, inf)",547,0.08497747397856144,344,203,0.3711151736745887,0.4525210593647703,0.016968956807220274,LOAN
Missing,0,0.0,0,0,0.0,0.0,0.0,LOAN
"(-inf, 40654.10)",1169,0.18160633835637718,526,643,0.5500427715996579,-0.2757581304667502,0.013793715340726454,MORTDUE
"[40654.10, 55816.75)",1164,0.1808295789964269,545,619,0.531786941580756,-0.20223409698819272,0.007398492758308821,MORTDUE
"[55816.75, 75688.54)",1451,0.2254155662575734,746,705,0.48587181254307377,-0.018386821575348454,7.623150555952489e-05,MORTDUE
"[75688.54, 88241.41)",623,0.09678421624980581,358,265,0.42536115569823435,0.22588854144763756,0.004896963689593209,MORTDUE
"[88241.41, 102994.00)",490,0.07612241727512817,316,174,0.3551020408163265,0.5217722954055426,0.02007458672774894,MORTDUE
"[102994.00, inf)",1015,0.15768215006990835,554,461,0.4541871921182266,0.10885202478379463,0.0018627039774527165,MORTDUE
Missing,525,0.08155973279478018,294,231,0.44,0.1662474378500476,0.0022420261593762334,MORTDUE
"(-inf, 48246.52)",640,0.09942519807363678,272,368,0.575,-0.377195490839774,0.014078745625458683,VALUE
"[48246.52, 77828.11)",1914,0.29734348298897,940,974,0.5088819226750261,-0.11044604734532593,0.0036309106220395863,VALUE
"[77828.11, 89624.50)",763,0.11853347832841386,420,343,0.44954128440366975,0.12760964514463347,0.0019230227574467088,VALUE
